"","V1","V2","V3","V4","V5","V6"
"1595",1462,12,22,37,NA,NA
"1596",1463,6,17,22,33,NA
"1597",1464,10,23,26,27,42
"1598",1465,2,8,14,36,NA
"1599",1466,29,39,40,NA,NA
"1600",1467,5,8,9,27,28
"1601",48,NA,NA,NA,NA,NA
"1602",1468,16,32,45,NA,NA
"1603",1469,0,1,7,13,35
"1604",41,46,NA,NA,NA,NA
"1605",1470,3,8,11,18,35
"1606",1471,23,24,40,41,43
"1607",1472,1,37,NA,NA,NA
"1608",1473,9,22,28,39,43
"1609",1474,2,12,14,19,24
"1610",44,NA,NA,NA,NA,NA
"1611",1475,20,23,29,44,NA
"1612",1476,20,29,46,NA,NA
"1613",1477,4,22,34,NA,NA
"1614",1478,14,44,NA,NA,NA
"1615",1479,27,28,NA,NA,NA
"1616",1480,4,22,40,NA,NA
"1617",1481,11,24,40,NA,NA
"1618",1482,0,46,NA,NA,NA
"1619",1483,14,44,47,NA,NA
"1620",1484,23,24,40,41,43
"1621",1485,5,36,44,NA,NA
"1622",1486,4,9,14,18,NA
"1623",1487,9,24,34,47,NA
"1624",1488,4,9,22,NA,NA
"1625",1489,7,11,37,45,NA
"1626",1490,2,17,35,42,43
"1627",46,NA,NA,NA,NA,NA
"1628",1491,8,23,47,NA,NA
"1629",1492,1,9,14,19,32
"1630",36,49,NA,NA,NA,NA
"1631",1493,3,18,35,NA,NA
"1632",1494,13,20,35,47,NA
"1633",1495,14,25,35,36,37
"1634",43,NA,NA,NA,NA,NA
"1635",1496,5,18,22,NA,NA
"1636",1497,5,12,17,30,39
"1637",46,49,NA,NA,NA,NA
"1638",1498,4,35,NA,NA,NA
"1639",1499,0,27,30,33,42
"1640",1500,3,18,35,NA,NA
"1641",1501,23,30,NA,NA,NA
"1642",1502,3,18,35,NA,NA
"1643",1503,27,36,40,42,46
"1644",1504,7,35,NA,NA,NA
"1645",1505,8,26,27,48,NA
"1646",1506,7,11,21,37,NA
"1647",1507,1,19,24,NA,NA
"1648",1508,0,8,46,NA,NA
"1649",1509,3,18,35,NA,NA
"1650",1510,23,24,40,41,43
"1651",1511,4,12,31,NA,NA
"1652",1512,1,3,21,23,38
"1653",1513,5,22,NA,NA,NA
"1654",1514,1,3,19,32,44
"1655",47,NA,NA,NA,NA,NA
"1656",1515,4,9,43,NA,NA
"1657",1516,15,22,25,NA,NA
"1658",1517,2,14,19,44,NA
"1659",1518,4,9,39,44,46
"1660",1519,16,32,35,NA,NA
"1661",1520,7,22,36,NA,NA
"1662",1521,0,8,33,42,47
"1663",1522,5,15,22,NA,NA
"1664",1523,5,33,42,48,NA
"1665",1524,4,14,33,44,45
"1666",1525,3,18,35,NA,NA
"1667",1526,18,33,37,42,45
"1668",1527,0,28,38,41,46
"1669",1528,0,46,NA,NA,NA
"1670",1529,36,45,NA,NA,NA
"1671",1530,4,9,16,19,30
"1672",1531,1,10,19,38,NA
"1673",1532,0,2,46,NA,NA
"1674",1533,1,19,22,NA,NA
"1675",1534,3,23,35,NA,NA
"1676",1535,45,47,NA,NA,NA
"1677",1536,21,49,NA,NA,NA
"1678",1537,8,41,NA,NA,NA
"1679",1538,1,13,NA,NA,NA
"1680",1539,3,7,13,17,18
"1681",24,35,NA,NA,NA,NA
"1682",1540,4,7,9,12,18
"1683",37,NA,NA,NA,NA,NA
"1684",1541,18,30,37,48,NA
"1685",1542,4,31,34,45,NA
"1686",1543,0,1,19,23,49
"1687",1544,23,24,40,41,43
"1688",1545,8,24,30,31,32
"1689",41,42,NA,NA,NA,NA
"1690",1546,7,9,11,13,32
"1691",37,42,NA,NA,NA,NA
"1692",1547,4,10,11,38,47
"1693",1548,9,27,28,40,41
"1694",1549,4,9,NA,NA,NA
"1695",1550,6,19,31,40,49
"1696",1551,18,19,31,45,NA
"1697",1552,5,19,21,25,29
"1698",31,41,46,NA,NA,NA
"1699",1553,3,18,35,NA,NA
"1700",1554,12,31,36,48,NA
"1701",1555,14,42,48,NA,NA
"1702",1556,11,32,44,45,48
"1703",1557,7,10,19,NA,NA
"1704",1558,0,2,23,46,NA
"1705",1559,7,11,37,NA,NA
"1706",1560,13,20,25,36,NA
"1707",1561,16,32,38,45,NA
"1708",1562,23,24,40,41,43
"1709",1563,6,9,22,34,35
"1710",1564,34,37,45,48,NA
"1711",1565,23,24,31,40,41
"1712",43,NA,NA,NA,NA,NA
"1713",1566,2,9,27,35,NA
"1714",1567,16,18,23,47,NA
"1715",1568,4,16,33,NA,NA
"1716",1569,1,3,12,18,35
"1717",43,NA,NA,NA,NA,NA
"1718",1570,7,11,37,45,NA
"1719",1571,9,18,19,20,39
"1720",1572,16,28,31,47,NA
"1721",1573,16,24,32,NA,NA
"1722",1574,10,14,19,24,NA
"1723",1575,0,2,9,37,40
"1724",1576,27,41,NA,NA,NA
"1725",1577,25,48,NA,NA,NA
"1726",1578,14,16,19,21,32
"1727",45,NA,NA,NA,NA,NA
"1728",1579,37,NA,NA,NA,NA
"1729",1580,4,9,NA,NA,NA
"1730",1581,3,18,35,NA,NA
"1731",1582,1,19,39,NA,NA
"1732",1583,4,40,48,NA,NA
"1733",1584,15,17,29,47,NA
"1734",1585,4,6,16,23,31
"1735",33,47,NA,NA,NA,NA
"1736",1586,5,14,26,41,NA
"1737",1587,2,21,24,28,30
"1738",36,41,NA,NA,NA,NA
"1739",1588,27,28,NA,NA,NA
"1740",1589,11,24,39,47,NA
"1741",1590,6,14,24,42,44
"1742",1591,15,18,25,39,41
"1743",42,47,NA,NA,NA,NA
"1744",1592,3,25,39,NA,NA
"1745",1593,1,2,6,10,47
"1746",1594,18,30,34,43,NA
"1747",1595,7,11,37,45,NA
"1748",1596,14,16,44,NA,NA
"1749",1597,7,11,37,45,NA
"1750",1598,1,4,8,34,41
"1751",1599,1,19,37,NA,NA
"1752",1600,4,17,37,47,NA
"1753",1601,6,9,15,16,18
"1754",34,35,NA,NA,NA,NA
"1755",1602,1,16,27,NA,NA
"1756",1603,5,6,22,31,32
"1757",37,47,NA,NA,NA,NA
"1758",1604,7,11,37,45,NA
"1759",1605,3,18,20,35,NA
"1760",1606,14,32,44,45,NA
"1761",1607,1,26,28,NA,NA
"1762",1608,25,38,NA,NA,NA
"1763",1609,5,22,33,NA,NA
"1764",1610,23,28,NA,NA,NA
"1765",1611,25,34,NA,NA,NA
"1766",1612,15,21,47,NA,NA
"1767",1613,1,19,21,NA,NA
"1768",1614,17,29,47,NA,NA
"1769",1615,6,18,29,36,NA
"1770",1616,8,31,42,NA,NA
"1771",1617,4,9,26,NA,NA
"1772",1618,1,19,NA,NA,NA
"1773",1619,7,18,27,31,32
"1774",33,42,48,NA,NA,NA
"1775",1620,28,30,35,NA,NA
"1776",1621,14,NA,NA,NA,NA
"1777",1622,28,31,NA,NA,NA
"1778",1623,10,16,47,NA,NA
"1779",1624,19,NA,NA,NA,NA
"1780",1625,6,20,24,NA,NA
"1781",1626,8,NA,NA,NA,NA
"1782",1627,17,47,49,NA,NA
"1783",1628,21,NA,NA,NA,NA
"1784",1629,48,NA,NA,NA,NA
"1785",1630,0,11,42,NA,NA
"1786",1631,16,45,NA,NA,NA
"1787",1632,16,32,45,46,NA
"1788",1633,3,15,18,35,NA
"1789",1634,4,9,44,NA,NA
"1790",1635,12,16,20,26,31
"1791",43,47,NA,NA,NA,NA
"1792",1636,1,2,28,39,42
"1793",1637,0,2,46,NA,NA
"1794",1638,9,37,44,45,NA
"1795",1639,0,35,NA,NA,NA
"1796",1640,4,36,41,NA,NA
"1797",1641,16,19,35,NA,NA
"1798",1642,33,42,NA,NA,NA
"1799",1643,7,11,37,45,NA
"1800",1644,1,34,NA,NA,NA
"1801",1645,13,18,21,35,41
"1802",1646,12,21,29,30,45
"1803",1647,12,17,27,28,44
"1804",1648,5,22,39,NA,NA
"1805",1649,5,7,26,NA,NA
"1806",1650,28,NA,NA,NA,NA
"1807",1651,1,9,30,32,NA
"1808",1652,30,35,49,NA,NA
"1809",1653,9,32,37,NA,NA
"1810",1654,4,9,12,NA,NA
"1811",1655,7,15,49,NA,NA
"1812",1656,4,9,NA,NA,NA
"1813",1657,4,14,30,32,NA
"1814",1658,7,12,15,NA,NA
"1815",1659,23,24,40,41,43
"1816",1660,14,44,NA,NA,NA
"1817",1661,20,27,28,NA,NA
"1818",1662,4,16,32,45,NA
"1819",1663,14,28,29,38,NA
"1820",1664,10,18,37,38,NA
"1821",1665,4,9,NA,NA,NA
"1822",1666,1,29,NA,NA,NA
"1823",1667,20,27,28,NA,NA
"1824",1668,1,4,9,41,NA
"1825",1669,1,3,9,19,43
"1826",1670,14,16,43,44,NA
"1827",1671,3,18,35,NA,NA
"1828",1672,1,5,6,23,29
"1829",40,NA,NA,NA,NA,NA
"1830",1673,5,22,25,29,42
"1831",1674,3,10,17,18,34
"1832",35,NA,NA,NA,NA,NA
"1833",1675,7,12,31,36,43
"1834",48,NA,NA,NA,NA,NA
"1835",1676,13,23,29,30,NA
"1836",1677,0,2,31,42,46
"1837",1678,23,24,40,41,43
"1838",1679,27,28,NA,NA,NA
"1839",1680,6,14,17,19,44
"1840",48,NA,NA,NA,NA,NA
"1841",1681,33,42,NA,NA,NA
"1842",1682,27,28,NA,NA,NA
"1843",1683,1,35,NA,NA,NA
"1844",1684,16,28,32,45,NA
"1845",1685,21,27,NA,NA,NA
"1846",1686,16,35,49,NA,NA
"1847",1687,5,22,NA,NA,NA
"1848",1688,1,3,4,12,37
"1849",44,47,NA,NA,NA,NA
"1850",1689,27,28,NA,NA,NA
"1851",1690,41,46,NA,NA,NA
"1852",1691,12,NA,NA,NA,NA
"1853",1692,3,35,49,NA,NA
"1854",1693,7,11,37,45,NA
"1855",1694,17,29,47,NA,NA
"1856",1695,3,18,35,NA,NA
"1857",1696,22,26,32,NA,NA
"1858",1697,1,19,48,NA,NA
"1859",1698,5,17,29,47,NA
"1860",1699,23,24,40,41,NA
"1861",1700,5,22,NA,NA,NA
"1862",1701,17,29,40,47,NA
"1863",1702,0,2,46,NA,NA
"1864",1703,16,32,45,NA,NA
"1865",1704,3,18,35,NA,NA
"1866",1705,4,9,NA,NA,NA
"1867",1706,2,28,38,NA,NA
"1868",1707,17,29,47,NA,NA
"1869",1708,12,31,36,48,NA
"1870",1709,11,14,24,28,30
"1871",34,42,NA,NA,NA,NA
"1872",1710,7,11,37,45,NA
"1873",1711,7,22,NA,NA,NA
"1874",1712,17,47,NA,NA,NA
"1875",1713,3,18,35,NA,NA
"1876",1714,0,3,19,22,26
"1877",28,33,42,NA,NA,NA
"1878",1715,16,32,41,45,NA
"1879",1716,8,39,40,45,49
"1880",1717,0,46,NA,NA,NA
"1881",1718,4,25,48,49,NA
"1882",1719,5,11,13,14,NA
"1883",1720,7,11,37,NA,NA
"1884",1721,12,31,36,48,NA
"1885",1722,5,22,NA,NA,NA
"1886",1723,3,18,35,NA,NA
"1887",1724,9,14,23,24,44
"1888",1725,4,7,NA,NA,NA
"1889",1726,0,2,46,NA,NA
"1890",1727,5,22,NA,NA,NA
"1891",1728,23,24,40,41,43
"1892",1729,17,26,29,47,NA
"1893",1730,19,30,48,NA,NA
"1894",1731,4,9,15,26,34
"1895",37,41,46,NA,NA,NA
"1896",1732,12,31,36,48,NA
"1897",1733,8,11,34,35,42
"1898",1734,22,34,NA,NA,NA
"1899",1735,1,5,19,27,NA
"1900",1736,27,28,29,NA,NA
"1901",1737,1,19,NA,NA,NA
"1902",1738,3,18,35,NA,NA
"1903",1739,6,7,24,31,NA
"1904",1740,7,22,35,42,44
"1905",1741,13,14,18,39,44
"1906",1742,7,15,49,NA,NA
"1907",1743,11,27,28,NA,NA
"1908",1744,1,19,NA,NA,NA
"1909",1745,33,39,NA,NA,NA
"1910",1746,18,19,33,NA,NA
"1911",1747,2,3,7,12,NA
"1912",1748,16,32,45,NA,NA
"1913",1749,14,20,49,NA,NA
"1914",1750,19,NA,NA,NA,NA
"1915",1751,37,40,NA,NA,NA
"1916",1752,5,22,41,44,46
"1917",48,NA,NA,NA,NA,NA
"1918",1753,0,13,27,48,NA
"1919",1754,30,44,47,NA,NA
"1920",1755,13,19,40,NA,NA
"1921",1756,2,4,5,11,15
"1922",1757,2,4,6,9,NA
"1923",1758,14,42,44,NA,NA
"1924",1759,33,40,42,44,45
"1925",1760,7,15,49,NA,NA
"1926",1761,14,21,36,NA,NA
"1927",1762,1,23,31,42,NA
"1928",1763,2,15,23,NA,NA
"1929",1764,5,7,20,22,NA
"1930",1765,3,18,35,NA,NA
"1931",1766,23,26,32,44,46
"1932",49,NA,NA,NA,NA,NA
"1933",1767,3,18,35,NA,NA
"1934",1768,18,22,26,33,NA
"1935",1769,7,11,37,45,NA
"1936",1770,7,11,37,NA,NA
"1937",1771,1,36,44,46,49
"1938",1772,17,19,24,32,39
"1939",40,42,43,NA,NA,NA
"1940",1773,5,39,44,NA,NA
"1941",1774,0,13,43,NA,NA
"1942",1775,17,NA,NA,NA,NA
"1943",1776,1,35,NA,NA,NA
"1944",1777,27,28,NA,NA,NA
"1945",1778,31,36,NA,NA,NA
"1946",1779,9,33,42,NA,NA
"1947",1780,0,2,46,NA,NA
"1948",1781,26,28,44,NA,NA
"1949",1782,4,13,37,NA,NA
"1950",1783,7,11,17,27,NA
"1951",1784,0,7,15,18,21
"1952",27,35,49,NA,NA,NA
"1953",1785,16,32,45,NA,NA
"1954",1786,12,31,36,48,NA
"1955",1787,2,14,16,20,44
"1956",1788,8,17,29,31,44
"1957",47,NA,NA,NA,NA,NA
"1958",1789,2,9,38,44,NA
"1959",1790,2,7,14,NA,NA
"1960",1791,6,22,NA,NA,NA
"1961",1792,16,24,32,NA,NA
"1962",1793,20,34,41,44,49
"1963",1794,5,12,15,17,32
"1964",44,NA,NA,NA,NA,NA
"1965",1795,13,NA,NA,NA,NA
"1966",1796,38,40,44,NA,NA
"1967",1797,7,11,37,NA,NA
"1968",1798,4,9,25,30,34
"1969",45,49,NA,NA,NA,NA
"1970",1799,17,29,47,NA,NA
"1971",1800,7,11,37,NA,NA
"1972",1801,10,NA,NA,NA,NA
"1973",1802,12,25,NA,NA,NA
"1974",1803,17,22,49,NA,NA
"1975",1804,17,29,47,NA,NA
"1976",1805,9,10,40,NA,NA
"1977",1806,12,31,36,48,NA
"1978",1807,1,17,19,21,NA
"1979",1808,7,11,37,45,NA
"1980",1809,0,18,23,24,34
"1981",40,41,43,NA,NA,NA
"1982",1810,7,8,42,44,NA
"1983",1811,14,32,44,48,NA
"1984",1812,5,13,NA,NA,NA
"1985",1813,7,14,44,NA,NA
"1986",1814,27,28,NA,NA,NA
"1987",1815,5,22,NA,NA,NA
"1988",1816,37,38,41,45,NA
"1989",1817,11,13,14,29,40
"1990",1818,2,NA,NA,NA,NA
"1991",1819,22,31,NA,NA,NA
"1992",1820,1,11,19,NA,NA
"1993",1821,3,18,35,NA,NA
"1994",1822,3,6,8,27,28
"1995",35,37,NA,NA,NA,NA
"1996",1823,7,11,37,45,NA
"1997",1824,8,30,37,NA,NA
"1998",1825,2,16,32,42,NA
"1999",1826,19,27,28,29,35
"2000",1827,4,12,16,21,45
"2001",1828,7,15,49,NA,NA
"2002",1829,4,9,25,NA,NA
"2003",1830,5,22,NA,NA,NA
"2004",1831,0,2,46,NA,NA
"2005",1832,11,20,25,32,36
"2006",42,45,NA,NA,NA,NA
"2007",1833,0,4,9,30,NA
"2008",1834,33,42,NA,NA,NA
"2009",1835,1,3,19,38,42
"2010",1836,23,NA,NA,NA,NA
"2011",1837,3,18,35,37,47
"2012",1838,16,31,35,42,46
"2013",1839,14,20,34,NA,NA
"2014",1840,1,19,NA,NA,NA
"2015",1841,15,35,NA,NA,NA
"2016",1842,33,42,NA,NA,NA
"2017",1843,12,31,36,48,NA
"2018",1844,22,23,32,NA,NA
"2019",1845,14,44,NA,NA,NA
"2020",1846,27,28,NA,NA,NA
"2021",1847,12,31,36,48,NA
"2022",1848,2,31,38,NA,NA
"2023",1849,0,6,7,11,17
"2024",37,45,NA,NA,NA,NA
"2025",1850,21,NA,NA,NA,NA
"2026",1851,9,47,49,NA,NA
"2027",1852,24,39,48,NA,NA
"2028",1853,4,9,NA,NA,NA
"2029",1854,12,19,22,27,28
"2030",1855,3,17,26,47,NA
"2031",1856,9,33,42,NA,NA
"2032",1857,7,11,37,NA,NA
"2033",1858,5,32,33,46,NA
"2034",1859,46,NA,NA,NA,NA
"2035",1860,16,32,45,NA,NA
"2036",1861,17,27,28,43,44
"2037",1862,5,6,7,15,17
"2038",37,46,49,NA,NA,NA
"2039",1863,16,32,45,NA,NA
"2040",1864,5,22,NA,NA,NA
"2041",1865,16,33,42,NA,NA
"2042",1866,8,22,42,48,NA
"2043",1867,28,NA,NA,NA,NA
"2044",1868,3,17,18,25,29
"2045",1869,3,18,35,NA,NA
"2046",1870,3,18,35,NA,NA
"2047",1871,11,27,28,NA,NA
"2048",1872,12,28,31,36,NA
"2049",1873,25,31,NA,NA,NA
"2050",1874,1,7,27,28,NA
"2051",1875,9,24,NA,NA,NA
"2052",1876,16,30,44,NA,NA
"2053",1877,23,24,40,41,43
"2054",1878,27,28,NA,NA,NA
"2055",1879,0,2,46,NA,NA
"2056",1880,33,42,46,NA,NA
"2057",1881,3,4,20,38,NA
"2058",1882,16,32,45,NA,NA
"2059",1883,27,28,NA,NA,NA
"2060",1884,1,14,39,44,NA
"2061",1885,27,28,NA,NA,NA
"2062",1886,2,23,NA,NA,NA
"2063",1887,20,35,NA,NA,NA
"2064",1888,16,NA,NA,NA,NA
"2065",1889,14,44,NA,NA,NA
"2066",1890,3,5,17,NA,NA
"2067",1891,0,17,18,28,47
"2068",1892,0,4,43,NA,NA
"2069",1893,9,15,47,NA,NA
"2070",1894,15,48,NA,NA,NA
"2071",1895,1,47,NA,NA,NA
"2072",1896,6,26,36,NA,NA
"2073",1897,15,28,29,NA,NA
"2074",1898,7,20,23,48,NA
"2075",1899,16,41,46,NA,NA
"2076",1900,5,12,21,27,32
"2077",49,NA,NA,NA,NA,NA
"2078",1901,7,11,37,45,NA
"2079",1902,23,24,40,41,43
"2080",1903,1,20,31,34,NA
"2081",1904,4,9,NA,NA,NA
"2082",1905,11,23,24,40,41
"2083",49,NA,NA,NA,NA,NA
"2084",1906,0,16,32,35,45
"2085",1907,6,7,NA,NA,NA
"2086",1908,4,9,NA,NA,NA
"2087",1909,4,22,26,29,34
"2088",43,47,NA,NA,NA,NA
"2089",1910,27,28,NA,NA,NA
"2090",1911,4,6,7,25,29
"2091",32,46,NA,NA,NA,NA
"2092",1912,5,22,27,NA,NA
"2093",1913,12,31,36,48,NA
"2094",1914,3,18,35,NA,NA
"2095",1915,7,11,27,37,38
"2096",45,NA,NA,NA,NA,NA
"2097",1916,39,41,NA,NA,NA
"2098",1917,27,28,37,NA,NA
"2099",1918,16,20,32,NA,NA
"2100",1919,7,15,21,49,NA
"2101",1920,17,29,47,NA,NA
"2102",1921,10,23,28,37,43
"2103",46,NA,NA,NA,NA,NA
"2104",1922,14,44,NA,NA,NA
"2105",1923,0,10,16,32,45
"2106",1924,0,12,15,31,36
"2107",38,48,NA,NA,NA,NA
"2108",1925,4,7,14,39,43
"2109",49,NA,NA,NA,NA,NA
"2110",1926,16,NA,NA,NA,NA
"2111",1927,9,10,22,25,36
"2112",37,45,NA,NA,NA,NA
"2113",1928,6,12,23,27,35
"2114",1929,8,10,16,20,NA
"2115",1930,26,45,NA,NA,NA
"2116",1931,7,11,37,45,NA
"2117",1932,14,44,NA,NA,NA
"2118",1933,5,22,31,46,NA
"2119",1934,1,19,41,NA,NA
"2120",1935,3,18,35,NA,NA
"2121",1936,7,13,21,NA,NA
"2122",1937,5,24,44,NA,NA
"2123",1938,5,9,11,22,33
"2124",1939,0,16,42,43,NA
"2125",1940,0,20,NA,NA,NA
"2126",1941,3,5,25,29,49
"2127",1942,17,30,33,42,NA
"2128",1943,22,24,33,NA,NA
"2129",1944,1,16,20,25,38
"2130",45,NA,NA,NA,NA,NA
"2131",1945,23,26,32,NA,NA
"2132",1946,24,47,NA,NA,NA
"2133",1947,1,17,37,38,39
"2134",49,NA,NA,NA,NA,NA
"2135",1948,4,15,34,NA,NA
"2136",1949,38,NA,NA,NA,NA
"2137",1950,1,24,36,NA,NA
"2138",1951,4,9,NA,NA,NA
"2139",1952,17,29,47,NA,NA
"2140",1953,0,16,32,46,NA
"2141",1954,1,2,5,18,24
"2142",27,35,42,NA,NA,NA
"2143",1955,10,14,16,20,21
"2144",34,NA,NA,NA,NA,NA
"2145",1956,16,32,45,NA,NA
"2146",1957,4,15,16,32,45
"2147",1958,12,16,25,33,42
"2148",46,NA,NA,NA,NA,NA
"2149",1959,7,15,45,49,NA
"2150",1960,2,9,10,11,26
"2151",36,45,48,NA,NA,NA
"2152",1961,1,13,30,NA,NA
"2153",1962,9,10,25,28,36
"2154",38,NA,NA,NA,NA,NA
"2155",1963,11,28,40,NA,NA
"2156",1964,0,2,18,46,NA
"2157",1965,27,28,NA,NA,NA
"2158",1966,17,29,47,NA,NA
"2159",1967,12,31,36,NA,NA
"2160",1968,21,23,45,47,NA
"2161",1969,8,24,43,NA,NA
"2162",1970,26,46,NA,NA,NA
"2163",1971,2,7,27,38,NA
"2164",1972,17,29,47,NA,NA
"2165",1973,7,14,15,45,49
"2166",1974,4,12,22,NA,NA
"2167",1975,1,NA,NA,NA,NA
"2168",1976,27,30,33,43,44
"2169",1977,15,27,42,49,NA
"2170",1978,33,42,NA,NA,NA
"2171",1979,7,11,37,45,NA
"2172",1980,26,27,33,35,45
"2173",1981,7,15,49,NA,NA
"2174",1982,6,8,20,25,40
"2175",1983,3,4,5,9,13
"2176",14,22,NA,NA,NA,NA
"2177",1984,1,19,NA,NA,NA
"2178",1985,1,19,49,NA,NA
"2179",1986,20,33,42,NA,NA
"2180",1987,17,29,47,NA,NA
"2181",1988,42,NA,NA,NA,NA
"2182",1989,1,5,40,42,44
"2183",1990,1,19,NA,NA,NA
"2184",1991,27,28,NA,NA,NA
"2185",1992,19,25,NA,NA,NA
"2186",1993,29,33,42,NA,NA
"2187",1994,34,NA,NA,NA,NA
"2188",1995,16,19,32,37,42
"2189",1996,3,7,NA,NA,NA
"2190",1997,9,42,NA,NA,NA
"2191",1998,3,35,39,NA,NA
"2192",1999,47,NA,NA,NA,NA
"2193",2000,24,49,NA,NA,NA
"2194",2001,27,28,NA,NA,NA
"2195",2002,12,31,36,48,NA
"2196",2003,22,46,NA,NA,NA
"2197",2004,17,19,48,NA,NA
"2198",2005,5,22,NA,NA,NA
"2199",2006,12,43,NA,NA,NA
"2200",2007,5,22,NA,NA,NA
"2201",2008,0,4,9,46,NA
"2202",2009,2,14,20,28,37
"2203",2010,2,9,14,26,29
"2204",36,44,NA,NA,NA,NA
"2205",2011,17,29,47,NA,NA
"2206",2012,4,12,34,35,46
"2207",2013,3,5,31,NA,NA
"2208",2014,0,16,41,46,NA
"2209",2015,5,13,22,NA,NA
"2210",2016,12,31,36,44,NA
"2211",2017,7,15,49,NA,NA
"2212",2018,1,25,28,34,48
"2213",2019,3,18,35,NA,NA
"2214",2020,7,11,37,45,NA
"2215",2021,27,28,NA,NA,NA
"2216",2022,1,19,35,NA,NA
"2217",2023,35,NA,NA,NA,NA
"2218",2024,5,15,28,NA,NA
"2219",2025,20,29,47,NA,NA
"2220",2026,4,19,49,NA,NA
"2221",2027,0,2,46,NA,NA
"2222",2028,13,NA,NA,NA,NA
"2223",2029,33,42,NA,NA,NA
"2224",2030,6,9,12,25,39
"2225",2031,3,42,46,47,NA
"2226",2032,1,6,15,26,30
"2227",40,NA,NA,NA,NA,NA
"2228",2033,14,44,NA,NA,NA
"2229",2034,3,8,21,NA,NA
"2230",2035,1,4,22,NA,NA
"2231",2036,9,12,26,48,NA
"2232",2037,33,42,49,NA,NA
"2233",2038,1,4,7,8,9
"2234",15,36,49,NA,NA,NA
"2235",2039,2,34,44,NA,NA
"2236",2040,21,22,32,33,41
"2237",2041,10,14,44,NA,NA
"2238",2042,0,11,12,23,32
"2239",2043,0,2,9,46,NA
"2240",2044,3,40,NA,NA,NA
"2241",2045,7,15,49,NA,NA
"2242",2046,13,17,34,40,45
"2243",2047,2,11,18,38,39
"2244",2048,1,16,39,49,NA
"2245",2049,0,4,9,NA,NA
"2246",2050,1,6,29,NA,NA
"2247",2051,2,6,22,NA,NA
"2248",2052,44,NA,NA,NA,NA
"2249",2053,16,22,26,31,36
"2250",2054,24,28,45,NA,NA
"2251",2055,7,44,NA,NA,NA
"2252",2056,0,40,NA,NA,NA
"2253",2057,4,15,NA,NA,NA
"2254",2058,0,2,46,NA,NA
"2255",2059,0,35,42,NA,NA
"2256",2060,5,14,23,33,NA
"2257",2061,13,20,31,38,NA
"2258",2062,21,32,33,42,NA
"2259",2063,37,49,NA,NA,NA
"2260",2064,3,5,34,44,46
"2261",2065,1,19,49,NA,NA
"2262",2066,17,29,47,NA,NA
"2263",2067,0,16,32,45,NA
"2264",2068,18,35,47,NA,NA
"2265",2069,18,35,NA,NA,NA
"2266",2070,13,16,26,NA,NA
"2267",2071,4,11,26,35,45
"2268",2072,17,29,47,NA,NA
"2269",2073,18,28,NA,NA,NA
"2270",2074,17,20,31,NA,NA
"2271",2075,31,33,34,42,NA
"2272",2076,27,47,NA,NA,NA
"2273",2077,12,16,32,NA,NA
"2274",2078,1,5,6,13,19
"2275",28,32,NA,NA,NA,NA
"2276",2079,5,6,14,16,26
"2277",27,34,35,NA,NA,NA
"2278",2080,32,NA,NA,NA,NA
"2279",2081,1,33,41,42,48
"2280",2082,7,15,49,NA,NA
"2281",2083,4,11,27,28,46
"2282",2084,14,30,45,NA,NA
"2283",2085,11,19,24,44,NA
"2284",2086,0,30,NA,NA,NA
"2285",2087,17,29,46,47,NA
"2286",2088,7,11,37,45,NA
"2287",2089,23,44,NA,NA,NA
"2288",2090,5,12,22,28,36
"2289",42,43,44,NA,NA,NA
"2290",2091,10,36,38,NA,NA
"2291",2092,3,27,28,NA,NA
"2292",2093,5,22,NA,NA,NA
"2293",2094,4,5,18,22,25
"2294",2095,1,19,45,NA,NA
"2295",2096,1,13,23,29,33
"2296",2097,24,26,27,28,NA
"2297",2098,7,11,37,45,NA
"2298",2099,7,11,37,45,NA
"2299",2100,5,22,NA,NA,NA
"2300",2101,0,27,36,45,NA
"2301",2102,16,18,19,21,24
"2302",28,33,42,NA,NA,NA
"2303",2103,7,15,49,NA,NA
"2304",2104,0,2,28,46,NA
"2305",2105,12,17,29,33,37
"2306",41,47,NA,NA,NA,NA
"2307",2106,5,22,NA,NA,NA
"2308",2107,3,8,10,21,32
"2309",35,NA,NA,NA,NA,NA
"2310",2108,1,14,17,19,31
"2311",2109,7,15,33,49,NA
"2312",2110,14,44,NA,NA,NA
"2313",2111,14,44,NA,NA,NA
"2314",2112,0,5,27,28,29
"2315",32,39,NA,NA,NA,NA
"2316",2113,4,9,11,14,18
"2317",32,NA,NA,NA,NA,NA
"2318",2114,27,28,NA,NA,NA
"2319",2115,4,9,NA,NA,NA
"2320",2116,18,20,32,42,NA
"2321",2117,14,22,28,37,NA
"2322",2118,2,17,22,29,30
"2323",47,NA,NA,NA,NA,NA
"2324",2119,3,8,10,27,NA
"2325",2120,2,14,36,44,NA
"2326",2121,5,6,22,27,29
"2327",41,NA,NA,NA,NA,NA
"2328",2122,5,12,18,22,32
"2329",42,NA,NA,NA,NA,NA
"2330",2123,3,8,18,35,NA
"2331",2124,12,31,36,48,NA
"2332",2125,33,42,NA,NA,NA
"2333",2126,0,27,28,36,NA
"2334",2127,16,32,45,NA,NA
"2335",2128,3,18,35,44,NA
"2336",2129,27,28,NA,NA,NA
"2337",2130,16,32,45,NA,NA
"2338",2131,3,25,35,39,48
"2339",2132,39,NA,NA,NA,NA
